Title,Author,Description,Image URL,Genre
The Bee Sting,By Paul Murray,"Dickie Barnes isn’t doing well. Ever since the 2008 financial crisis, the once-wealthy car salesman has been in crisis mode. The economic downturn is one thing, and the growing effects of climate change are another. He has drained his family’s savings and is building a bunker in the woods to prepare for the apocalypse. Anxiety pervades the household: Dickie’s wife is selling off her possessions to make ends meet, his daughter is drinking her way through high school to cope, and his son is texting a stranger about video games just to feel seen. Irish novelist Paul Murray’s latest is a tragicomedy in the vein of his 2010 best seller Skippy Dies. Balancing humor with devastation, he creates a portrait of a fractured family attempting to survive their personal struggles amid what increasingly feels like the end of the world. —Shannon Carlin Buy Now: The Bee Sting on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/TheBeeSting.jpg?quality=85&w=800,Fiction
Big Swiss,by Jen Beagin,"Set in the boho-chic town of Hudson, N.Y., Jen Beagin’s laughter-inducing Big Swiss centers on a sex therapist’s transcriptionist, a 45-year-old California transplant named Greta. The novel follows the adrift Greta as she begins to fantasize about a 28-year-old patient who she lovingly names Big Swiss—ostensibly because she’s from Switzerland and, well, she’s tall. As Greta works her way through transcribing Big Swiss’s sessions with the therapist, she learns that her crush, whose real name is Flavia, was brutally assaulted years ago and the attacker has recently been released from prison. Also, Flavia has never had an orgasm. Enamored with the idea of the woman on the tapes, Greta finally meets her in a dog park, and a torrid affair ensues. Sexy and darkly funny, at its core this novel turns preconceived notions about mental health, obsession, and trauma upside down. —Rachel Sonis Buy Now: Big Swiss on Bookshop | Amazon Looking for more book recommendations? Sign up for Worth Your Time CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/BigSwiss.jpg?quality=85&w=800,Fiction
Biography of X,By Catherine Lacey,"Catherine Lacey’s Biography of X is a daring reimagining of 20th century America where the Vietnam War never happened, Bernie Sanders was President, and an enigmatic multi-hyphenate artist named X was worthy of two biographies. The novel opens in 1997, one year after X dies, just as a book about her is released. X’s widow, an alt-weekly journalist named C.M. Lucca, is unnerved by the biography’s publication—it’s not factually accurate—so she takes matters into her own hands. C.M. sets out to write the definitive book on X’s life, much of which, she learns, she was not privy to. Lacey casts X as a Zelig-like figure who loosely resembles the real iconoclasts of the downtown New York art scene of the ’70s (Patti Smith, Nan Goldin, Susan Sontag, to name a few) and worked with some of the biggest names from that era (David Bowie, Tom Waits, Annie Leibovitz). Lacey seamlessly blurs the line between fact and fiction, including frequent footnotes that cite real articles and fake ones by real journalists. The result is a kaleidoscopic exploration of art, love, and grief. —Shannon Carlin Buy Now: Biography of X on Bookshop | Amazon Looking for more book recommendations? Sign up for Worth Your Time CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/BiographyofX.jpg?quality=85&w=800,Biography
Birnam Wood,by Eleanor Catton,"In Eleanor Catton’s third novel, Mira Bunting leads a group of guerilla gardeners who operate under the name Birnam Wood. The ragtag collective pushes back against climate change and capitalism by planting gardens, both legally and illegally, across New Zealand. When American billionaire Robert Lemoine offers to bankroll the group, Mira accepts the money without hesitation. But the tech mogul turns out to be more sinister than expected, and his funding becomes a major point of contention among the do-gooders. Told through rotating points of view, Birnam Wood is a thrilling surveillance satire that explores idealism and ideology, morality and motive—and questions what it means to be truly good in the era of late-stage capitalism. —Meg Zukin Buy Now: Birnam Wood on Bookshop | Amazon Looking for more book recommendations? Sign up for Worth Your Time CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/BirnamWood.jpg?quality=85&w=800,Fiction
Blackouts,by Justin Torres,"Based on the real-life work of queer researcher and activist Jan Gay, Justin Torres’ new novel is a transfixing and emotional examination of history. Blackouts follows a dying elderly man, Juan Gay, and his nameless, 20-something caretaker to explore what it means to be erased. Throughout, Torres draws on photographs, illustrations, and redacted passages from “Sex Variants: A Study in Homosexual Patterns,” a 1941 committee report whose authorship is attributed to psychiatrist George W. Henry but that originated as a compilation of queer stories collected by Jan. In doing so, Blackouts, a finalist for the 2023 National Book Award in fiction, illuminates the ways in which the lives and experiences of marginalized people have long been omitted from written records. —Megan McCluskey Buy Now: Blackouts on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/Blackout.jpg?quality=85&w=800,Biography
Chrome Valley,By Mahogany L. Browne,"Exploring girlhood to motherhood, Mahogany L. Browne’s poetry collection, Chrome Valley, offers an intimate portrait of what it means to be a Black woman in America. Using her own coming of age in Oakland, Calif., as inspiration, the YA author and poet looks at the pleasure and pain that comes with being a teenage girl: “You ain’t had freedom / ’til you climb on a bus 62 / & head to the closest mall / for a girl fight.” She often transitions from writing about the simple joys to tackling the larger battle being waged against her community. “I think ‘God! Is this the fight?/ To be Black and beautiful and breathing.’” Death is omnipresent in this collection because, as Browne explains in its opening pages, “When you are a black writer in America:/it gets harder to ignore the bodies.” Throughout Chrome Valley, she grapples with generational trauma while paying tribute to a long history of resistance. She delves into the anxieties that come with being a mother to a Black child by evoking the names of women—Mamie Till, Kadiatou Diallo, Sybrina Fulton—who have lost their sons to police violence. With great compassion and fury, Browne shows how survival has become an act of defiance. —Shannon Carlin Buy Now: Chrome Valley on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/ChromeValley.jpg?quality=85&w=800,History
The Covenant of Water,By Abraham Verghese,"After 14 years, physician Abraham Verghese returns with the follow-up to his 2009 best-selling fiction debut Cutting For Stone. The Covenant of Water follows three generations of an unlucky South Indian family. The Parambils, led by matriarch Big Ammachi, suffer the same tragedy in each generation: at least one person dies by drowning. The over 700-page novel set in Kerala, a southwestern Indian state surrounded by water, between the years of 1900 and 1977, is an evocative work of epic proportions. It is both historical fiction that offers a voyeuristic view into India’s history and a detailed accounting of the medical advancements of the 20th century. Most notably, The Covenant of Water is a religious fable in which Verghese attempts to answer the age-old question: Why do bad things happen to good people? —Shannon Carlin Buy Now: Covenant of Water on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/TheCovenantOfWater.jpg?quality=85&w=800,History
Crook Manifesto,by Colson Whitehead,"In the sequel to his 2021 best seller Harlem Shuffle, two-time Pulitzer Prize winner Colson Whitehead revisits the world of Ray Carney, a full-time furniture salesman and part-time criminal. Crook Manifesto picks up in 1971, when Ray’s attempt to stick to his store—and to stay away from all that crime he got caught up in before—is disrupted by his daughter’s desperate plea to see the Jackson 5 live. Ray decides he’ll do whatever it takes to make his kid happy, even if the risks he has to take to obtain the money for tickets turn deadly. Through brilliantly constructed twists and turns, set in a vibrantly detailed 1970s New York City, Whitehead once again demonstrates his prowess as an author whose work can stand out in any genre. His latest crime novel is simultaneously sharp, funny, and full of heart—and an elegant portrait of Harlem and its residents. —Annabel Gutterman Buy Now: Crook Manifesto on Bookshop | Amazon Looking for more book recommendations? Sign up for Worth Your Time CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/CrookManifesto.jpg?quality=85&w=800,Fiction
The Deadline,by Jill Lepore,"The Deadline, a collection of 46 essays that the Harvard historian and New Yorker staff writer Jill Lepore has written over the last 20 years, is an absorbing history of the 21st century so far. From “The American Beast,” which analyzes the main findings of the January 6th Commission report, to “Valley of the Dolls,” on the copyright battle between Bratz dolls and Barbie, Lepore deftly draws connections between moments past and present. While her specialty is providing historical context to current events, she is also not afraid to get personal. In the powerful titular essay, she writes about having a miscarriage and a late best friend who was by her side. Lepore explained the role she believes historians have to play in an interview with TIME earlier this year: “We have an obligation to try to make sense of the relationship between today and yesterday.” —Olivia B. Waxman Buy Now: The Deadline on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/TheDeadline.jpg?quality=85&w=800,History
Desertion,by Abdulrazak Gurnah,"Abdulrazak Gurnah’s previously out-of-print 2005 novel, published in the U.S. for the first time this year, begins with a half-starving Englishman named Martin Pearce. It’s 1899 and Martin finds himself in a coastal East African village where he meets and falls in love with Rehana, the sister of the local shopkeeper who nurses him back to health. The couple’s illicit love story plays out across the book’s early chapters with Gurnah using flashbacks to show just how symbiotic the two are despite their disparate backgrounds. One may begin to write off Desertion as a star-crossed epic romance, until Gurnah pulls off an unexpectedly heartbreaking twist. The book then jumps ahead to the 1950s, where a new narrator and cast of characters is introduced. When their connection to Martin and Rehana is eventually uncovered, Gurnah, winner of the 2021 Nobel Prize in Literature, reveals just how small the world really is. —Shannon Carlin Buy Now: Desertion on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/Desertion.jpg?quality=85&w=800,Fiction
Doppelganger,by Naomi Klein,"In Doppelganger: A Trip Into the Mirror World, noted leftist and activist Naomi Klein introduces readers to “Other Naomi,” which is how she has come to think of Naomi Wolf, her right-wing, fun-house-mirror double who she can’t seem to escape. After experiencing one too many in-person and online mixups between herself and Wolf, Klein wonders how Other Naomi, once a Rhodes Scholar and feminist media darling, transformed into a prominent voice in the alt-right, anti-vax landscape, becoming a fixture on Steve Bannon’s podcast and a proud member of the so-called War Room posse. She tumbles down the rabbit hole of “disaster doppelgangers” and “digital doubles,” turning to Hitchock and bell hooks and Freud, among others, in order to make sense of her situation. Klein’s writing is urgent as she dissects conspiracy theories hawked by wellness influencers, unpacks the influence of Nazis on autism research, and more—all while acknowledging the absurdity of her situation. She weaves cultural criticism with personal anecdotes and self-examination into a book that’s bold enough to propose that we will all someday emerge from the rubble of the crumbling world—it will just take reimagining, collective organizing, and ego annihilating. —Meg Zukin Buy Now: Doppelganger on Bookshop | Amazon Looking for more book recommendations? Sign up for Worth Your Time CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/Doppelganger.jpg?quality=85&w=800,History
Dyscalculia,by Camonghne Felix,"After discovering her partner is having an affair, poet Camonghne Felix sinks into a deep depression. She spirals in her devastation and loses herself to memories of childhood traumas, finally examining the scars they left. In her debut memoir, Felix unpacks that pain and reckons with it, drawing connections between her mental health and her relationships with others. She describes how she received a bipolar II diagnosis as an adult, and started taking medication for the first time. And she uses her childhood diagnosis of dyscalculia, a kind of math dyslexia, to better understand the miscalculations she has made in her love life. Her prose is lyrical, shattered, and visceral. Felix doesn’t shy away from darkness, but instead embraces it as she works to reemerge transformed on the other side of her depression. —Meg Zukin Buy Now: Dyscalculia on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/Dyscalculia.jpg?quality=85&w=800,Biography
The End of Drum-Time,by Hanna Pylväinen,"In Hanna Pylväinen’s second novel, it’s 1851 and a Lutheran minister in a remote Scandinavian village is intent on converting Swedes, Finns, and a group of Sámi reindeer herders to his religion. After he starts to convince even the most skeptical, his followers grow tenfold. Then, something shifts: a prominent herder buys in big time, and his spiritual awakening leads him to abandon his son Ivvár, who is forced to tend to the family’s reindeer all alone. Ivvár happens to run into the minister’s daughter—each of them a puzzle for the other to figure out—and she prepares to join him on the annual spring migration. The End of Drum-Time is a deeply researched story about obedience, defiance, and what happens when the tectonic plates of two different cultures collide. —Meg Zukin Buy Now: The End of Drum-Time on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/TheEndOfDrumline.jpg?quality=85&w=800,Science
Fair Play,By Katie Barnes,"What does a fair and trans-inclusive athletic policy look like? That is the question at the heart of journalist Katie Barnes’ electrifying debut, Fair Play: How Sports Shape the Gender Debates, which looks at the role gender has historically played in sports. Through in-depth and compassionate reporting, Barnes breaks down the misunderstood science surrounding sex and gender that has been used to keep cisgender women out of sports and has fueled debate over trans athletes participation in women’s sports. As Barnes explains, those who support trans sports bans have claimed that it would be unfair for trans women to compete against those who were assigned female at birth. Barnes investigates the validity of those concerns by speaking with medical experts and analyzing the difference between using testosterone to medically transition and using it to gain competitive advantage. The writer also takes a closer look at Title IX, the landmark 1972 federal civil rights law that prohibits discrimination based on sex in education, and how it unnecessarily normalized sex segregation in sports. But Barnes, who identifies as nonbinary, knows this issue is not just a political or scientific one. They put the personal stories of trans and nonbinary athletes at the center of the discussion, interviewing South African Olympic middle-distance runner Caster Semenya and University of Pennsylvania swimmer Lia Thomas to understand the real effects these reactive laws are having on the community. Despite a rise in anti-trans bills in the U.S. over the past year, Barnes ends Fair Play on a hopeful note, offering their own thoughtful policy recommendations and suggestions to make athletics more inclusive. If there is anything Barnes has learned, it’s that there’s always a path forward—even if the road is a long one. —Shannon Carlin Buy Now: Fair Play on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/FairPlay.jpg?quality=85&w=800,History
Family Lore,by Elizabeth Acevedo,"Flor Marte has three sisters: Matilde, Pastora, and Camila. She also has a daughter, Ona, and is an aunt to Yadi. These six women—each with a preternatural gift—build the beating heart of Family Lore. The novel, by National Book Award winner and Carnegie Medal recipient Elizabeth Acevedo, braids together chapters by each of the Marte women through the lens of Ona’s oral history project. Flor can see the future, mainly the deaths of those around her. So when she announces that she’s hosting a living wake, but doesn’t specify who it’s for, the family is aflutter. What could it mean? What has she seen? Flor is tight-lipped, but over the course of three days, secrets spill out into the oral history. The story is a study in inheritance, resilience, femininity, and the messy bonds of family love. —Laura Zornosa Buy Now: Family Lore on Bookshop | Amazon Looking for more book recommendations? Sign up for Worth Your Time CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/FamilyLore.jpg?quality=85&w=800,History
Fire Weather,by John Vaillant,"With Fire Weather: A True Story from a Hotter World, journalist John Vaillant offers a vivid retelling of the multi-billion-dollar disaster that he calls “the wildfire equivalent of Hurricane Katrina.” In May 2016, Fort McMurray, a small Canadian city at the center of the country’s oil industry, was destroyed by a colossal wildfire that drove 88,000 people from their homes. To better understand how this apocalyptic natural disaster happened, the award-winning author of The Golden Spruce and The Tiger chronicles the intertwining histories of North America’s oil and gas industries and the study of climate change. Using images from cell phone cameras, security cameras, and a nanny cam placed in a child’s stuffed animal, Vaillant offers a gripping depiction of the blaze’s devastating trajectory. While he offers firsthand accounts from residents affected by the inferno, the book’s true protagonist is fire, which Vaillant treats like a living, breathing creature that is destined to grow even more dangerous as the world becomes even more combustible. At a time when wildfires are dominating news cycles, Fire Weather is not just a timely and stunning account of recent history—it’s also a frightening preview of what could become our new normal. —Shannon Carlin Buy Now: Fire Weather on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/FireWeather.jpg?quality=85&w=800,History
From From,By Monica Youn,"American racism is at the forefront of Monica Youn’s daring and inventive new poetry collection, From From. The book’s title is a reference to the accusatory question Americans of color are confronted with all too often: “Yes, but where are you from from?” Blending confessional personal essays and adventurous poetic forms, Youn describes the microaggressions she faced as a Korean American kid growing up in Houston and the larger effects they’ve had on her self-esteem. The heartbreaking “Epicanthic” recalls the schoolyard bullying an Asian American girl faces for her appearance. In “Deracinations: Eight Sonigrams,” she interrogates the language that is used to talk about race and to define Asianness, ruminating on casual racist remarks that evoke white supremacy. Dr. Seuss becomes a surprising central figure at one point, with her writing of the imaginary daughter, Chrysanthemum-Pearl, he invented while authoring anti-Japanese propaganda. From From, a finalist for the 2023 National Book Award for Poetry, is a complex critique of how race is handled in the United States that challenges readers to change not only how they think about racism, but how they speak about it, too. —Shannon Carlin Buy Now: From From on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/From.jpg?quality=85&w=800,History
The Future,by Naomi Alderman,"Naomi Alderman, author of the 2016 phenomenon The Power, returns with a thrilling, apocalyptic novel. In The Future, the world is ending, and the tech billionaires who played a major role in its destruction are forewarned, giving them the opportunity to escape to a bunker to save themselves while the rest of humanity perishes. But even the richest people on the planet are not immune to certain forces. In a novel that jumps through time and between perspectives, Alderman draws out the stories of the haves and the have-nots to show how the world has become what it is. The result is a nerve-wracking and sometimes hilarious narrative that raises urgent questions about technology, capitalism, and power. —Mahita Gajanan Buy Now: The Future on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/TheFuture.jpg?quality=85&w=800,History
Ghost Music,by An Yu,"Song Yan is starting to realize that she made the wrong choice when she abandoned her training as a concert pianist to marry her milquetoast husband, Bowen. His disinterest in having children and the arrival of his unfriendly mother, whom Song Yan is often left to care for while Bowen travels for work, have made their home a lonely place. This conventional enough domestic malaise fuels the sophomore novel by Braised Pork author An Yu. Then things take a turn for the surreal as mushrooms—edible, poison, possibly psychedelic—disrupt both Song Yan’s waking and dream lives. Reality and hallucinations blur, sending her on a journey to confront the apparition of her squandered talent. Trippy as Ghost Music can be, Yu’s spare prose grounds the spectral story in the recognizable psyche of a young woman yearning to start over. —Judy Berman Buy Now: Ghost Music on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/GhostMusic.jpg?quality=85&w=800,Fiction
